HPI Rank,Country,Sub-Region,"Life 
Expectancy","Well-being
(0-10)",Happy Life Years,"Footprint
(gha/capita)",Happy Planet Index,Population,"GDP/capita
($PPP)","Governance Rank
(1 = highest gov.)"
37,Laos,6c,67.5,5.044098972,41.63612808,1.304032451,49.13022988,6201000,2550.978441,125
118,Latvia,7b,73.3,4.668910416,43.08746973,3.953841968,34.86951862,2239000,16340.31295,37
69,Lebanon,3b,72.6,5.181676266,45.55420573,2.847759746,42.85291126,4227000,14069.42432,104
116,Liberia,4c,56.8,4.196063166,31.31185927,1.279882578,35.17605596,3994000,418.7922666,112
81,Libya,3a,74.8,4.920692304,45.42531192,3.187299719,40.79895192,6355000,16987.06734,130
120,Lithuania,7b,72.2,5.065824904,44.65651447,4.383715516,34.55049225,3287000,18370.16318,35
138,Luxembourg,2c,80,7.097251764,62.04578175,10.72424,28.99441857,507000,86124.28461,5
140,Macedonia,7b,74.8,4.180201863,41.14290238,5.364422328,28.27414,2060000,11161.57339,62
49,Madagascar,4a,66.7,4.640078923,39.0591514,1.156299394,46.82608513,20714000,968.6737279,110
72,Malawi,4a,54.2,5.148239502,33.86867025,0.775803788,42.46257014,14901000,882.1492376,72
84,Malaysia,6c,74.2,5.580281601,48.84488131,3.900403258,40.49452944,28401000,14730.93506,46
147,Mali,4c,51.4,3.762304976,26.61126301,1.864940544,26.0379245,15370000,1064.606452,90
66,Malta,2e,79.6,5.773874815,53.59106505,4.25509,43.10092948,416000,26445.23715,20
128,Mauritania,4c,58.6,4.97416914,35.8294968,2.864512252,32.32917178,3460000,2456.439431,122
111,Mauritius,4a,73.4,5.477072976,47.7325465,4.551181705,36.57796013,1281000,13696.50866,34
22,Mexico,1a,77,6.802388634,57.96365586,3.297908687,52.89402951,113423000,14563.88425,67
40,Moldova,7b,69.3,5.589736613,45.66993562,2.096280342,47.96082241,3562000,3109.837713,87
145,Mongolia,7a,68.5,4.585523502,39.82428946,5.530729631,26.76645075,2756000,4035.870182,70
42,Morocco,3a,72.2,4.383247344,40.84623923,1.323544342,47.88698007,31951000,4712.01387,79
114,Mozambique,4a,50.2,4.653583238,29.44925611,0.784310381,35.74847046,23390000,942.063592,71
61,Myanmar,5a,65.2,5.321976944,41.61819211,1.935682715,44.19784297,47963000,1950.22574,149
96,Namibia,4a,62.5,4.885587122,37.7860055,2.033721701,38.88291223,2283000,6474.567151,47
58,Nepal,5a,68.8,3.809444659,35.87049579,0.759446374,45.62183248,29959000,1198.863187,121
67,Netherlands,2c,80.7,7.501875836,65.11328127,6.335531544,43.08831403,16616000,42164.50406,8
28,New Zealand,2a,80.7,7.223756397,63.37799144,4.313162606,51.55703283,4368000,29534.51533,4
8,Nicaragua,1a,74,5.686699354,49.32207764,1.559846601,57.06340448,5789000,2913.278816,108
144,Niger,4c,54.7,4.101016189,29.7522333,2.589298394,26.83326121,15512000,727.9949256,109
125,Nigeria,4c,51.9,4.760275794,30.87466474,1.440481412,33.62292011,158423000,2399.389429,135
29,Norway,2d,81.1,7.632287552,66.25374366,4.769394107,51.42858,4889000,57230.89,7
16,Pakistan,5a,65.4,5.267186141,41.46880885,0.753681571,54.13971149,173593000,2687.638114,132
30,Palestine,3b,72.8,4.845216382,43.78590943,1.40122,51.19232888,3780000,2613,n/a
7,Panama,1a,76.1,7.32146749,60.34027184,2.965542307,57.79858673,2620000,13607.82747,56
57,Paraguay,1b,72.5,5.841174116,49.18819572,2.994822431,45.82561567,6454000,5181.283653,105
24,Peru,1b,74,5.612785201,48.89918856,2.029934988,52.36901439,29076000,9537.704508,68
25,Philippines,6c,68.7,4.941514141,41.83143819,0.982726997,52.35427347,93261000,3969.251025,97
71,Poland,7b,76.1,5.780330168,51.27265546,3.937681316,42.58004352,38184000,19884.55441,31
97,Portugal,2e,79.5,4.872720766,47.98471477,4.116788519,38.67756897,10638000,25415.54358,26
149,Qatar,3b,78.4,6.591603996,57.73986032,11.67622398,25.19245228,1759000,80943.89283,38
75,Romania,7b,74,4.909165951,44.87353335,2.837321778,42.18244881,21438000,14524.30355,50
122,Russia,7c,68.8,5.464779107,44.67573856,4.396228614,34.51825071,141750000,19891.35283,111
108,Rwanda,4b,55.4,4.029761886,29.82777242,0.709080047,36.85399647,10624000,1163.381707,69
56,Saudi Arabia,3b,73.9,6.726918314,55.19884517,3.988496505,45.96538286,27448000,22713.48529,74
126,Senegal,4c,59.3,3.834201487,31.03095316,1.531239791,33.31241548,12434000,1934.959229,89
79,Serbia,7b,74.5,4.461304407,42.59704487,2.567322768,41.27614623,7291000,11348.73203,64
139,Sierra Leone,4c,47.8,4.133956057,26.12094476,1.1317433,28.80816268,5867000,826.9138929,106
90,Singapore,6b,81.1,6.531401799,59.35086484,6.100923864,39.78193299,5077000,57932.42717,12
89,Slovakia,7b,75.4,6.052223142,52.38605419,4.660814217,40.13238289,5430000,23302.83328,32
87,Slovenia,7b,79.3,6.082555189,55.28164732,5.211423961,40.17439824,2049000,26925.21022,28
142,South Africa,4a,52.8,4.652428583,30.96980278,2.589260832,28.19011236,49991000,10565.18406,48
62,Spain,2e,81.4,6.188262653,57.41086902,4.74012615,44.06279336,46071000,32230.3586,29
35,Sri Lanka,5a,74.9,4.180569262,41.20003384,1.206348983,49.38258812,20860000,5077.970265,85
101,Sudan,4b,61.5,4.37509714,34.75409573,1.63033454,37.57365379,43552000,2255.751395,147
52,Sweden,2d,81.4,7.496019064,65.64122095,5.708355966,46.17237255,9378000,39024.17387,3
34,Switzerland,2c,82.3,7.524520636,66.54834145,5.013066566,50.3386471,7826000,46384.4904,6
47,Syria,3b,75.9,4.065824276,41.0767483,1.454490753,47.11981876,20447000,5285.024576,123
43,Tajikistan,7a,67.5,4.38063633,38.17364715,0.900642725,47.78931273,6879000,2162.769068,131
133,Tanzania,4b,58.2,3.229129025,27.73265109,1.19238277,30.74073484,44841000,1433.990578,81
20,Thailand,6c,74.1,6.216703138,52.42516642,2.411844749,53.45764203,69122000,8553.805912,82
141,Togo,4c,57.1,2.807855138,25.34868783,1.031872762,28.23148996,6028000,998.0234978,120
136,Trinidad and Tobago,1a,70.1,6.696443929,52.19530845,7.559941531,30.26726733,1341000,25738.62683,54
39,Tunisia,3a,74.5,4.685980744,43.89118335,1.764817913,48.29836556,10549000,9549.838669,66
44,Turkey,3b,74,5.490347161,48.19867712,2.554784968,47.62354355,72752000,15686.86017,57
95,Turkmenistan,7a,65,6.567713266,47.75099446,3.983001179,39.07887158,5042000,8273.643714,144
131,Uganda,4b,54.1,4.192882221,29.81013825,1.565490461,31.5262061,33424000,1272.458112,100
100,Ukraine,7c,68.5,5.057561323,42.32425782,3.19397593,37.58324978,45871000,6720.972226,96
130,United Arab Emirates,3b,76.5,7.196803093,59.92008943,8.880908706,31.77827419,7512000,47213.36642,43
41,United Kingdom,2c,80.2,7.029364308,61.77994569,4.713109588,47.92547572,62232000,35686.19977,17
105,United States of America,2b,78.5,7.163616195,61.2852073,7.189133029,37.34010608,309349000,47153.00943,21
93,Uruguay,1c,77,6.062010945,53.55596434,5.07866107,39.32097669,3357000,14108.07465,30
54,Uzbekistan,7a,68.3,5.095342262,42.40019147,1.819811783,46.00276319,28228000,3106.049132,142
9,Venezuela,1b,74.4,7.478454372,59.89536147,3.024572094,56.87144157,28834000,12232.80458,140
2,Vietnam,6c,75.2,5.767344608,50.59077737,1.390974448,60.43899132,86928000,3205.135776,94
68,Yemen,3b,65.5,3.924141923,34.73080996,0.87118284,42.96675279,24053000,2653.068939,138
99,Zambia,4a,49,5.260360827,31.04404519,0.840814318,37.73357006,12927000,1561.938335,83
115,Zimbabwe,4a,51.4,4.845641852,30.91646754,1.170249909,35.31716775,12571000,376,146
